ปี,เดือน,ประเภทการทำการประมง,เครื่องมือ,ขนาดเรือ,พื้นที่ทำการประมง,ชนิดสัตว์น้ำ,ปริมาณ,มูลค่า
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 150 ตันกรอสขึ้นไป,อันดามัน,ปลาทูแขก,47.00,"1,431.00"
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 150 ตันกรอสขึ้นไป,อันดามัน,ปลาสีกุนตาโต,15.00,704.00
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 150 ตันกรอสขึ้นไป,อันดามัน,ปลาน้ำดอกไม้,55.00,"3,306.00"
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 150 ตันกรอสขึ้นไป,อันดามัน,ปลาทรายแดง,43.00,"1,743.00"
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 150 ตันกรอสขึ้นไป,อันดามัน,ปลาปากคม,57.00,"1,775.00"
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 150 ตันกรอสขึ้นไป,อันดามัน,ปลาตาโต,4.00,172.00
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 150 ตันกรอสขึ้นไป,อันดามัน,ปลาฉลาม,9.00,545.00
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 150 ตันกรอสขึ้นไป,อันดามัน,ปลาเลยหน้าดิน,42.00,"1,225.00"
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 150 ตันกรอสขึ้นไป,อันดามัน,ปลาเป็ด,66.00,560.00
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 150 ตันกรอสขึ้นไป,อันดามัน,หมึกกล้วย,6.00,"1,299.00"
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 150 ตันกรอสขึ้นไป,อันดามัน,หมึกกระดอง,1.00,159.00
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 30 ตันกรอส ถึงน้อยกว่า 60 ตันกรอส,อ่าวไทย,ปลาทูแขก,1.00,30.00
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 30 ตันกรอส ถึงน้อยกว่า 60 ตันกรอส,อ่าวไทย,ปลาแข้งไก่,2.00,76.00
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 30 ตันกรอส ถึงน้อยกว่า 60 ตันกรอส,อ่าวไทย,ปลาสีกุน,21.00,753.00
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 30 ตันกรอส ถึงน้อยกว่า 60 ตันกรอส,อ่าวไทย,ปลาสีกุนตาโต,3.00,141.00
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 30 ตันกรอส ถึงน้อยกว่า 60 ตันกรอส,อ่าวไทย,ปลาหลังเขียว,11.00,188.00
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 30 ตันกรอส ถึงน้อยกว่า 60 ตันกรอส,อ่าวไทย,ปลากะตัก,2.00,37.00
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 30 ตันกรอส ถึงน้อยกว่า 60 ตันกรอส,อ่าวไทย,ปลาน้ำดอกไม้,39.00,"2,344.00"
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 30 ตันกรอส ถึงน้อยกว่า 60 ตันกรอส,อ่าวไทย,ปลาจวด,2.00,86.00
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 30 ตันกรอส ถึงน้อยกว่า 60 ตันกรอส,อ่าวไทย,ปลาทรายแดง,388.00,"15,722.00"
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 30 ตันกรอส ถึงน้อยกว่า 60 ตันกรอส,อ่าวไทย,ปลาทรายขาว,193.00,"6,283.00"
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 30 ตันกรอส ถึงน้อยกว่า 60 ตันกรอส,อ่าวไทย,ปลาปากคม,239.00,"7,443.00"
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 30 ตันกรอส ถึงน้อยกว่า 60 ตันกรอส,อ่าวไทย,ปลาดาบเงิน,10.00,803.00
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 30 ตันกรอส ถึงน้อยกว่า 60 ตันกรอส,อ่าวไทย,ปลากะพงแดง,39.00,"5,413.00"
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 30 ตันกรอส ถึงน้อยกว่า 60 ตันกรอส,อ่าวไทย,ปลาตาโต,91.00,"3,898.00"
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 30 ตันกรอส ถึงน้อยกว่า 60 ตันกรอส,อ่าวไทย,ปลากระเบน,4.00,216.00
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 30 ตันกรอส ถึงน้อยกว่า 60 ตันกรอส,อ่าวไทย,ปลาฉลาม,1.00,61.00
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 30 ตันกรอส ถึงน้อยกว่า 60 ตันกรอส,อ่าวไทย,ปลาลิ้นหมา,16.00,"1,364.00"
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 30 ตันกรอส ถึงน้อยกว่า 60 ตันกรอส,อ่าวไทย,ปลายอดจาก,39.00,"1,787.00"
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 30 ตันกรอส ถึงน้อยกว่า 60 ตันกรอส,อ่าวไทย,ปลาเก๋า,28.00,"4,981.00"
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 30 ตันกรอส ถึงน้อยกว่า 60 ตันกรอส,อ่าวไทย,ปลาเลยหน้าดิน,862.00,"25,155.00"
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 30 ตันกรอส ถึงน้อยกว่า 60 ตันกรอส,อ่าวไทย,ปลาเลยผิวน้ำ,7.00,204.00
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 30 ตันกรอส ถึงน้อยกว่า 60 ตันกรอส,อ่าวไทย,ปลาเป็ด,"2,417.00","20,543.00"
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 30 ตันกรอส ถึงน้อยกว่า 60 ตันกรอส,อ่าวไทย,กุ้งแชบ๊วย,4.00,"1,122.00"
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 30 ตันกรอส ถึงน้อยกว่า 60 ตันกรอส,อ่าวไทย,กุ้งกุลาลาย,2.00,722.00
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 30 ตันกรอส ถึงน้อยกว่า 60 ตันกรอส,อ่าวไทย,กุ้งโอคัก,60.00,"8,716.00"
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 30 ตันกรอส ถึงน้อยกว่า 60 ตันกรอส,อ่าวไทย,กั้งกระดาน,2.00,500.00
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 30 ตันกรอส ถึงน้อยกว่า 60 ตันกรอส,อ่าวไทย,ปูม้า,3.00,618.00
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 30 ตันกรอส ถึงน้อยกว่า 60 ตันกรอส,อ่าวไทย,หมึกกล้วย,379.00,"82,047.00"
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 30 ตันกรอส ถึงน้อยกว่า 60 ตันกรอส,อ่าวไทย,หมึกกระดอง,203.00,"32,196.00"
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 30 ตันกรอส ถึงน้อยกว่า 60 ตันกรอส,อ่าวไทย,หมึกสาย,22.00,"2,626.00"
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 30 ตันกรอส ถึงน้อยกว่า 60 ตันกรอส,อ่าวไทย,หอยเชลล์,54.00,"6,510.00"
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 30 ตันกรอส ถึงน้อยกว่า 60 ตันกรอส,อ่าวไทย,กุ้งอื่น ๆ,201.00,"17,422.00"
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 30 ตันกรอส ถึงน้อยกว่า 60 ตันกรอส,อ่าวไทย,ปูอื่น ๆ,16.00,"2,210.00"
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 30 ตันกรอส ถึงน้อยกว่า 60 ตันกรอส,อ่าวไทย,สัตว์น้ำอื่น ๆ,2.00,162.00
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 30 ตันกรอส ถึงน้อยกว่า 60 ตันกรอส,อันดามัน,ปลาทูแขก,3.00,91.00
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 30 ตันกรอส ถึงน้อยกว่า 60 ตันกรอส,อันดามัน,ปลาแข้งไก่,14.00,526.00
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 30 ตันกรอส ถึงน้อยกว่า 60 ตันกรอส,อันดามัน,ปลาสีกุน,3.00,108.00
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 30 ตันกรอส ถึงน้อยกว่า 60 ตันกรอส,อันดามัน,ปลาสีกุนตาโต,3.00,141.00
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 30 ตันกรอส ถึงน้อยกว่า 60 ตันกรอส,อันดามัน,ปลาน้ำดอกไม้,14.00,841.00
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 30 ตันกรอส ถึงน้อยกว่า 60 ตันกรอส,อันดามัน,ปลาจวด,3.00,129.00
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 30 ตันกรอส ถึงน้อยกว่า 60 ตันกรอส,อันดามัน,ปลาทรายแดง,137.00,"5,551.00"
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 30 ตันกรอส ถึงน้อยกว่า 60 ตันกรอส,อันดามัน,ปลาทรายขาว,18.00,586.00
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 30 ตันกรอส ถึงน้อยกว่า 60 ตันกรอส,อันดามัน,ปลาปากคม,255.00,"7,942.00"
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 30 ตันกรอส ถึงน้อยกว่า 60 ตันกรอส,อันดามัน,ปลาดาบเงิน,28.00,"2,248.00"
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 30 ตันกรอส ถึงน้อยกว่า 60 ตันกรอส,อันดามัน,ปลากะพงแดง,8.00,"1,110.00"
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 30 ตันกรอส ถึงน้อยกว่า 60 ตันกรอส,อันดามัน,ปลาตาโต,12.00,514.00
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 30 ตันกรอส ถึงน้อยกว่า 60 ตันกรอส,อันดามัน,ปลาลิ้นหมา,6.00,512.00
2565,มกราคม,พาณิชย์,อวนลากแผ่นตะเฆ่,ตั้งแต่ 30 ตันกรอส ถึงน้อยกว่า 60 ตันกรอส,อันดามัน,ปลายอดจาก,1.00,46.00
