ปี,ปริมาณ,มูลค่า,เดือน_encoded,พื้นที่ทำการประมง_label,ประเภทการทำการประมง_label,ขนาดเรือ_ตั้งแต่ 150 ตันกรอสขึ้นไป,ขนาดเรือ_ตั้งแต่ 30 ตันกรอส ถึงน้อยกว่า 60 ตันกรอส,ขนาดเรือ_ตั้งแต่ 60 ตันกรอส ถึงน้อยกว่า 150 ตันกรอส,ขนาดเรือ_น้อยกว่า 10 ตันกรอส,ขนาดเรือ_น้อยกว่า 30 ตันกรอส,เครื่องมือ_คราดหอยลาย,เครื่องมือ_คราดหอยอื่น,เครื่องมือ_ลอบปลา,เครื่องมือ_ลอบปู,เครื่องมือ_ลอบหมึก,เครื่องมือ_ลอบหมึกสาย,เครื่องมือ_สวิงช้อนแมงกะพรุน,เครื่องมือ_อวนครอบปลากะตัก,เครื่องมือ_อวนครอบหมึก,เครื่องมือ_อวนจมปู,เครื่องมือ_อวนช้อน/ยกปลากะตัก,เครื่องมือ_อวนช้อนปลาจะละเม็ด,เครื่องมือ_อวนติดตา,เครื่องมือ_อวนติดตากุ้ง,เครื่องมือ_อวนติดตาปลาทู,เครื่องมือ_อวนติดตาปลาหลังเขียว,เครื่องมือ_อวนติดตาอื่นๆ,เครื่องมือ_อวนปู,เครื่องมือ_อวนรุนเคย,เครื่องมือ_อวนลอยปลา,เครื่องมือ_อวนลากคานถ่าง,เครื่องมือ_อวนลากคู่,เครื่องมือ_อวนลากแผ่นตะเฆ่,เครื่องมือ_อวนล้อมจับ,เครื่องมือ_อวนล้อมจับปลากะตัก,เครื่องมือ_เครื่องมืออื่นๆ,เครื่องมือ_เบ็ดมือ,เครื่องมือ_เบ็ดราว,เครื่องมือ_แผงยกปูจักจั่น,ชนิดสัตว์น้ำ_กั้งกระดาน,ชนิดสัตว์น้ำ_กั้งไข่,ชนิดสัตว์น้ำ_กุ้งกุลาดำ,ชนิดสัตว์น้ำ_กุ้งกุลาลาย,ชนิดสัตว์น้ำ_กุ้งอื่น ๆ,ชนิดสัตว์น้ำ_กุ้งอื่นๆ,ชนิดสัตว์น้ำ_กุ้งเหลือง,ชนิดสัตว์น้ำ_กุ้งแชบ๊วย,ชนิดสัตว์น้ำ_กุ้งโอคัก,ชนิดสัตว์น้ำ_ปลากดทะเล,ชนิดสัตว์น้ำ_ปลากระบอก,ชนิดสัตว์น้ำ_ปลากระเบน,ชนิดสัตว์น้ำ_ปลากระโทงแทง,ชนิดสัตว์น้ำ_ปลากระโทงแทงร่ม,ชนิดสัตว์น้ำ_ปลากะตัก,ชนิดสัตว์น้ำ_ปลากะพงขาว,ชนิดสัตว์น้ำ_ปลากะพงแดง,ชนิดสัตว์น้ำ_ปลากุเรา,ชนิดสัตว์น้ำ_ปลาจวด,ชนิดสัตว์น้ำ_ปลาจะละเม็ดขาว,ชนิดสัตว์น้ำ_ปลาจะละเม็ดดำ,ชนิดสัตว์น้ำ_ปลาจักรผาน,ชนิดสัตว์น้ำ_ปลาฉลาม,ชนิดสัตว์น้ำ_ปลาดาบลาว,ชนิดสัตว์น้ำ_ปลาดาบเงิน,ชนิดสัตว์น้ำ_ปลาดุกทะเล,ชนิดสัตว์น้ำ_ปลาตาโต,ชนิดสัตว์น้ำ_ปลาทรายขาว,ชนิดสัตว์น้ำ_ปลาทรายแดง,ชนิดสัตว์น้ำ_ปลาทู,ชนิดสัตว์น้ำ_ปลาทูน่า,ชนิดสัตว์น้ำ_ปลาทูน่าท้องแถบ,ชนิดสัตว์น้ำ_ปลาทูแขก,ชนิดสัตว์น้ำ_ปลาน้ำดอกไม้,ชนิดสัตว์น้ำ_ปลาปากคม,ชนิดสัตว์น้ำ_ปลายอดจาก,ชนิดสัตว์น้ำ_ปลาลัง,ชนิดสัตว์น้ำ_ปลาลิ้นหมา,ชนิดสัตว์น้ำ_ปลาสำลี,ชนิดสัตว์น้ำ_ปลาสีกุน,ชนิดสัตว์น้ำ_ปลาสีกุนตาโต,ชนิดสัตว์น้ำ_ปลาหลังเขียว,ชนิดสัตว์น้ำ_ปลาอินทรี,ชนิดสัตว์น้ำ_ปลาเก๋า,ชนิดสัตว์น้ำ_ปลาเป็ด,ชนิดสัตว์น้ำ_ปลาเลยผิวน้ำ,ชนิดสัตว์น้ำ_ปลาเลยหน้าดิน,ชนิดสัตว์น้ำ_ปลาเห็ดโคน,ชนิดสัตว์น้ำ_ปลาแข้งไก่,ชนิดสัตว์น้ำ_ปลาโอดำ,ชนิดสัตว์น้ำ_ปลาโอลาย,ชนิดสัตว์น้ำ_ปลาโอหลอด,ชนิดสัตว์น้ำ_ปลาโอแกลบ,ชนิดสัตว์น้ำ_ปูจักจั่น,ชนิดสัตว์น้ำ_ปูทะเล,ชนิดสัตว์น้ำ_ปูม้า,ชนิดสัตว์น้ำ_ปูอื่น ๆ,ชนิดสัตว์น้ำ_ปูอื่นๆ,ชนิดสัตว์น้ำ_สัตว์น้ำอื่น ๆ,ชนิดสัตว์น้ำ_สัตว์น้ำอื่นๆ,ชนิดสัตว์น้ำ_หมึกกระดอง,ชนิดสัตว์น้ำ_หมึกกล้วย,ชนิดสัตว์น้ำ_หมึกสาย,ชนิดสัตว์น้ำ_หมึกหอม,ชนิดสัตว์น้ำ_หอยกะพง,ชนิดสัตว์น้ำ_หอยนางรม,ชนิดสัตว์น้ำ_หอยลาย,ชนิดสัตว์น้ำ_หอยอื่น ๆ,ชนิดสัตว์น้ำ_หอยอื่น ๆ ,ชนิดสัตว์น้ำ_หอยอื่นๆ,ชนิดสัตว์น้ำ_หอยเชลล์,ชนิดสัตว์น้ำ_หอยแครง,ชนิดสัตว์น้ำ_หอยแมลงภู่,ชนิดสัตว์น้ำ_เคย,ชนิดสัตว์น้ำ_แมงกะพรุน
2565,47.0,1431.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2565,15.0,704.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2565,55.0,3306.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2565,43.0,1743.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2565,57.0,1775.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2565,4.0,172.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2565,9.0,545.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2565,42.0,1225.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2565,66.0,560.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2565,6.0,1299.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2565,1.0,159.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2565,1.0,30.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
